r;k=20;k=30;k=40;k=50;k=60;
2;0;0;0;0;0;
2,5;1;0;0;0;0;
3;1;0;0;0;0;
3,5;1;1;0;0;0;
4;1;1;1;0;0;
4,5;1;1;1;1;0;
5;1;1;1;1;1;
5,5;1;1;1;1;1;
6;1;1;1;1;1;
6,5;1;1;1;1;1;
7;1;1;1;1;1;
7,5;1;1;1;1;1;
8;1;1;1;1;1;
