r;k=50;k=90;k=130;
2;0;0;0;
2,5;0;0;0;
3;0;0;0;
3,5;0;0;0;
4;41;0;0;
4,5;5362;5;0;
5;9264;9;0;
5,5;10942;11;0;
6;12339;373;0;
6,5;13607;10647;11;
7;14843;14380;14;
7,5;15929;15885;45;
8;16929;16924;7252;
