r;k=50;k=90;k=130;
2;0;0;0;
2,5;0;0;0;
3;0;0;0;
3,5;0;0;0;
4;1;0;0;
4,5;133;0;0;
5;192;0;0;
5,5;199;0;0;
6;200;8;0;
6,5;200;155;0;
7;200;195;0;
7,5;200;200;1;
8;200;200;86;
