r;k=20;k=30;k=40;k=50;k=60;
2;0;0;0;0;0;
2,5;0;0;0;0;0;
3;0;0;0;0;0;
3,5;13;0;0;0;0;
4;76;0;0;0;0;
4,5;95;8;0;0;0;
5;99;67;0;0;0;
5,5;100;95;11;0;0;
6;100;99;70;0;0;
6,5;100;100;96;20;0;
7;100;100;99;80;2;
7,5;100;100;100;97;38;
8;100;100;100;100;91;
