r;k=10;k=20;k=30;
2;0;0;0;
2,5;0;0;0;
3;4;0;0;
3,5;19;0;0;
4;39;0;0;
4,5;47;0;0;
5;49;3;0;
5,5;50;15;0;
6;50;36;0;
6,5;50;46;1;
7;50;49;6;
7,5;50;50;25;
8;50;50;43;
