r;k=10;k=20;k=30;
2;0;0;0;
2,5;0;0;0;
3;0;0;0;
3,5;1;0;0;
4;1;0;0;
4,5;1;0;0;
5;1;0;0;
5,5;1;0;0;
6;1;1;0;
6,5;1;1;0;
7;1;1;0;
7,5;1;1;1;
8;1;1;1;
